,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Company Type,Status
301,N/A,N/A,lll,N/A,N/A,N/A,N/A,N/A,N/A,22.04,1.40,3.07,6.44,10.18,5.74,14.95,140.49,15280000000.0,18250000000.0,21.63,5.31,1.67,13.81,1.67,1010000000.0,13.81,N/A,8.87,37.40,2.60,4.92,4.92,3340000000.0,1.83,63.79,1070000000.0000001,1.37,0.68,80.29,N/A,1.34,1.07,N/A,Industrials,status
302,N/A,N/A,lltc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Industrials,status
303,N/A,N/A,lly,N/A,N/A,N/A,N/A,N/A,N/A,36.92,4.06,6.38,11.12,20.34,7.23,16.98,20.82,89350000000.0,96920000000.0,18.43,1.71,4.40,16.17,4.40,15570000000.0,16.17,N/A,2.31,34.80,7.80,5440000000.0,5.15,12340000000.0,1.39,13.37,5660000000.0,0.11,0.25,78.52,N/A,2.62,1.04,N/A,Health Care,status
304,N/A,N/A,lm,N/A,N/A,N/A,N/A,N/A,N/A,16.69,1.24,0.95,8.21,16.63,3.79,6.41,30.36,3690000000.0,5180000000.0,1.24,1.24,1.74,9.05,1.74,2770000000.0,9.05,N/A,2.41,52.20,13.40,784960000.0,8.39,2220000000.0,2.74,42.14,592160000.0,2.31,1.95,91.25,N/A,0.00,0.00,N/A,Health Care,status
305,N/A,N/A,lmt,N/A,N/A,N/A,N/A,N/A,N/A,18.19,1.84,71.40,10.37,10.63,6.57,172.71,167.96,90310000000.0,103730000000.0,23.40,5.25,2.12,16.65,2.12,5060000000.0,16.65,N/A,17.24,7.70,9.60,2450000000.0,8.51,14280000000.0,1.21,4.39,5260000000.0,0.61,0.10,79.55,N/A,0.01,0.00,N/A,Industrials,status
306,N/A,N/A,lnc,N/A,N/A,N/A,N/A,N/A,N/A,11.66,1.21,1.06,10.84,15.65,0.51,9.41,61.06,16739999999.999998,19060000000.0,9.77,1.24,1.38,8.77,1.38,4360000000.0,8.77,N/A,6.56,26.50,8.20,3660000000.0,16.51,5780000000.0,3.24,71.98,846370000.0,2.23,0.45,85.43,N/A,3.34,1.79,N/A,Financials,status
307,N/A,N/A,lo,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,Financials,status
308,N/A,N/A,low,N/A,N/A,N/A,N/A,N/A,N/A,23.92,1.03,12.74,4.51,9.19,10.66,48.78,78.97,84420000000.0,84420000000.0,16.32,1.38,1.24,10.80,1.24,22460000000.0,10.80,N/A,3.52,21.60,6.80,1820000000.0,2.18,16079999999.999998,1.03,6.61,6060000000.0,1.09,0.14,74.82,N/A,1.46,1.04,N/A,Consumer Discretionary,status
309,N/A,N/A,lrcx,N/A,N/A,N/A,N/A,N/A,N/A,17.15,3.43,4.19,22.85,25.84,11.43,30.09,54.48,30420000000.0,27440000000.0,12.41,0.74,3.10,10.55,3.10,3600000000.0,10.55,N/A,10.95,123.90,51.80,6180000000.0,38.13,2430000000.0,3.31,44.85,2410000000.0,1.82,0.31,96.57,N/A,3.81,5.73,N/A,Information Technology,status
310,N/A,N/A,lsi,N/A,N/A,N/A,N/A,N/A,N/A,78.93,8.72,2.04,11.08,32.23,2.64,2.51,10.38,4190000000.0000005,5900000000.0,33.29,8.20,12.28,19.39,12.28,311340000.0,19.39,N/A,1.14,55.50,21.70,0.17,0.17,1740000000.0,0.35,44.31,241240000.0,0.50,1.75,111.27,N/A,10.56,12.13,N/A,Information Technology,status
311,N/A,N/A,ltd,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,Information Technology,status
